总价,单价,地区,名称,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房管局核验码
90.0,10287,青山 青山 三至四环,青宜居一期,3室1厅1厨1卫,高楼层 (共18层),87.49㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯六户,有,暂无数据,2023-11-25,房改房,2022-01-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20231125anFN8
148.0,11546,青山 青山 三至四环,绿地香树花城派克公馆,3室2厅1厨2卫,中楼层 (共47层),128.19㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,三梯四户,有,暂无数据,2023-03-29,商品房,2020-03-28,普通住宅,满两年,非共有,"
                                有抵押 125万元 可以协商一下
                              ",已上传房本照片,		202303298AeyL
147.0,17052,青山 青山 二至三环,大华铂金华府,3室1厅1厨1卫,低楼层 (共32层),86.21㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,两梯六户,有,暂无数据,2023-10-22,商品房,2021-10-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,20210818CAGqQ
68.0,10486,青山 青山 ,武钢钢花新村121小区,2室1厅1厨1卫,中楼层 (共7层),64.85㎡,平层,56.1㎡,板楼,南,框架结构,简装,暂无数据,无,暂无数据,2023-03-02,商品房,2012-07-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,20210419gvTiV
59.0,8948,青山 青山 三至四环,青宜居二期,2室1厅1厨1卫,低楼层 (共18层),65.94㎡,平层,53.51㎡,塔楼,南,钢混结构,精装,两梯六户,有,暂无数据,2023-10-31,拆迁还建房,2012-08-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20231031a6vT1
55.0,9125,青山 青山 三至四环,青宜居一期,2室1厅1厨1卫,中楼层 (共18层),60.28㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯四户,有,暂无数据,2023-11-02,拆迁还建房,2021-10-27,普通住宅,满两年,共有,"
                                有抵押 30万元 平安银行 客户偿还
                              ",已上传房本照片,20231102IyUpe
80.0,9623,青山 青山 三至四环,青宜居一期,3室1厅1厨1卫,高楼层 (共18层),83.14㎡,平层,66.75㎡,塔楼,南 北,钢混结构,简装,两梯六户,有,暂无数据,2022-01-02,商品房,2013-03-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20220105m2LyF
80.0,9074,青山 青山 ,青山绿水花园,2室1厅1厨1卫,中楼层 (共11层),88.17㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,一梯四户,有,暂无数据,2023-05-01,商品房,2008-07-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,20230502Nxy04 
158.0,17795,青山 青山 二至三环,大华滨江天地,2室2厅1厨1卫,低楼层 (共34层),88.79㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-06,商品房,2019-01-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,202005055CNSE
42.0,8741,青山 青山 三至四环,七星天兴花园,1室1厅1厨1卫,中楼层 (共18层),48.05㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯六户,有,暂无数据,2023-10-04,商品房,2021-10-15,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,2023091879tT1
